"Bill of Material for "
"On 9/14/2021 at 11:42:50 AM"

"Comment","Pattern","Quantity","Components"

"0R","0603R","1","R11",""
"100k","0603R","13","R10, R22, R24, R25, R26, R29, R30, R33, R37, R38, R40, R41, R42",""
"100nF - AC0603KRX7R8BB104","0603C","2","C14, C15",""
"100nF","0603C","22","C22, C23, C24, C27, C28, C31, C32, C34, C37, C38, C40, C43, C44, C48, C49, C50, C55, C59, C62, C64, C65, C66",""
"100pF","0603C","1","C33",""
"10K","0603R","6","R3, R4, R17, R21, R28, R39",""
"10nF-AC0603KRX7R8BB103","0603C","2","C16, C17",""
"10uF","1206C","3","C20, C26, C42",""
"10uF-GRM188R61E106KA73J","0603C","3","C7, C9, C13",""
"1206FUSE_500mA","1206FUSE","1","F1",""
"12pF","0603C","2","C46, C47",""
"15R","0603R","1","R34",""
"1K","0603R","6","R9, R15, R27, R31, R32, R43",""
"1M","0603R","2","R5, R6",""
"1uF","0603C","2","C45, C53",""
"2/3 pads connected","SMD_JUMPER 2/3 pads","3","JP1, JP2, JP4",""
"2K49","0603R","1","R18",""
"2u2","0603C","6","C21, C29, C30, C36, C39, C41",""
"2u2-GRM188R61E225MA12D","0603C","2","C18, C19",""
"330R","0603R","1","R14",""
"3V3","HEADER MALE 1x1 - NO_SILK","1","K21",""
"43k-RC0603FR-0743KL","0603R","1","R2",""
"470R","0603R","1","R13",""
"47k","0603R","1","R36",""
"47k5-RC0603FR-0747K5L","0603R","1","R7",""
"4u7","0603C","2","C51, C52",""
"4u7-TMK212AB7475KG-T","0805C","15","C1, C2, C3, C4, C5, C6, C8, C10, C11, C12, C54, C58, C60, C61, C63",""
"510K","0603R","1","R16",""
"52k3-RC0603FR-0752K3L","0603R","1","R8",""
"5k1","0603R","3","R19, R20, R35",""
"7LC32768F12UC","3215Crystal","1","X1",""
"AP5726WG-7","SOT-23-6","1","U10","inkplate 6+"
"BAT20J","SOD-323","1","D8",""
"BAT54S","SOT-23-3","4","D3, D4, D5, D6","SINGLE SHOTTKY DIODE"
"CH340C","SOP-16","1","U9",""
"CL21B105KBFNNNG","0805C","2","C56, C57",""
"CR2032-BS-6-1","CR2032-BS-6-1","1","K33",""
"CUS10F30,H3F","SOD-323","2","D1, D2",""
"DIODA M4","DIODA SMA","2","D9, D10",""
"DNP","0603R","2","R12, R23",""
"DNP","2917C","2","C25, C35",""
"DNP","SOT-23-3","1","Q1",""
